Internal code for this file,Country Code,Country name,Year,Gas/Scope,CRF code,Description as in CRF,Sector_code,Sector_name,Colum,Row,Unit,Emissions - MS [kt],Emissions - EEA [kt],Emissions with notation key [kt],Emissions,Notation key,Source,Description test,Check,Manually,Final check
FI_2023_Total_without_LULUCF_incl_indirect_CO2_incl_avi,FI,Finland,2023,Total,without_LULUCF_incl_indirect_CO2_incl_avi,"Total CO2 equivalent emissions without land use, land-use change and forestry, including indirect CO2, international aviation",Sectors/Totals_excl_incl_avi,Total emissions with international aviation (EU 2020),O,68,Gg CO2 equivalent,42566.79776,42566.80213,"42,566.80",42566.80,,EEA,"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",FALSE,1,TRUE
FI_2023_Total_with_LULUCF_incl_indirect_CO2_avi,FI,Finland,2023,Total,with_LULUCF_incl_indirect_CO2_avi,"Total CO2 equivalent emissions with land use, land-use change and forestry, indirect CO2 and international aviation",Sectors/Totals_incl_incl_avi,Total net emissions with international aviation (EU NDC),O,69,Gg CO2 equivalent,41220.35661,41220.3628,"41,220.36",41220.36,,EEA,"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",FALSE,1,TRUE
FI_2023_Total_without_LULUCF_incl_indirect_CO2,FI,Finland,2023,Total,without_LULUCF_incl_indirect_CO2,"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",Sectors/Totals_excl,Total emissions (UNFCCC),J,68,Gg CO2 equivalent,40629.36012,40629.36213,"40,629.36",40629.36,,EEA,"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",TRUE,,TRUE
FI_2023_Total_with_LULUCF_incl_indirect_CO2,FI,Finland,2023,Total,with_LULUCF_incl_indirect_CO2,"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",Sectors/Totals_incl,Total net emissions (UNFCCC),J,69,Gg CO2 equivalent,39282.91897,39282.9228,"39,282.92",39282.92,,EEA,"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",TRUE,,TRUE
FI_2023_Total_without_LULUCF_incl_indirect_CO2_incl_avi_incl_nav,FI,Finland,2023,Total,without_LULUCF_incl_indirect_CO2_incl_avi_incl_nav,"Total CO2 equivalent emissions without land use, land-use change and forestry, including indirect CO2, international aviation and international navigation",Sectors/Totals_excl_incl_avi_nav,Total emissions with international transport (EEA),P,68,Gg CO2 equivalent,43426.8021,43426.8047,"43,426.80",43426.80,,EEA,"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",FALSE,1,TRUE
FI_2023_ETS_Total,FI,Finland,2023,ETS,Total,,Sectors/Totals_ETS,Total ETS emissions,L,66,Gg CO2 equivalent,15367.274,15367.274,"15,367.27",15367.27,,MS data,"Total CO2 equivalent emissions without land use, land-use change and forestry",FALSE,1,TRUE
FI_2023_Total_with_LULUCF_incl_indirect_CO2_incl_avi_incl_nav,FI,Finland,2023,Total,with_LULUCF_incl_indirect_CO2_incl_avi_incl_nav,"Total CO2 equivalent emissions with land use, land-use change and forestry, indirect CO2, international aviation and international navigation",Sectors/Totals_incl_incl_avi_nav,Total net emissions with international transport (EEA),P,69,Gg CO2 equivalent,42080.36096,42080.36537,"42,080.37",42080.37,,EEA,"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",FALSE,1,TRUE
FR_2023_CO2_Total_net,FR,France,2023,CO2,Total_net,Total (net emissions)(1),,,B,7,Gg CO2 equivalent,259340.4596,259340.46,"259,340.46",259340.46,,EEA,Total (net emissions)(1),TRUE,,TRUE
FR_2023_CO2_1,FR,France,2023,CO2,1,1. Energy,1,1 - Energy,B,8,Gg CO2 equivalent,252064.6322,252064.6326,"252,064.63",252064.63,,EEA,1. Energy,TRUE,,TRUE
FR_2023_CO2_1A,FR,France,2023,CO2,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,B,9,Gg CO2 equivalent,250292.4526,250292.4526,"250,292.45",250292.45,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
FR_2023_CO2_1A1,FR,France,2023,CO2,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,B,10,Gg CO2 equivalent,32100.75812,32100.75812,"32,100.76",32100.76,,MS data,1.  Energy industries,TRUE,,TRUE
FR_2023_CO2_1A2,FR,France,2023,CO2,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,B,11,Gg CO2 equivalent,36299.63323,36299.63323,"36,299.63",36299.63,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
FR_2023_CO2_1A3,FR,France,2023,CO2,1A3,3.  Transport,1.A.3,1.A.3 - Transport,B,12,Gg CO2 equivalent,122528.1273,122528.1273,"122,528.13",122528.13,,MS data,3.  Transport (3),FALSE,1,TRUE
FR_2023_CO2_1A4,FR,France,2023,CO2,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,B,13,Gg CO2 equivalent,57089.15676,57089.15676,"57,089.16",57089.16,,MS data,4.  Other sectors,TRUE,,TRUE
FR_2023_CO2_1A5,FR,France,2023,CO2,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,B,14,Gg CO2 equivalent,2274.77714,2274.77714,"2,274.78",2274.78,,MS data,5.  Other,TRUE,,TRUE
FR_2023_CO2_1B,FR,France,2023,CO2,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,B,15,Gg CO2 equivalent,1772.17959,1772.18,"1,772.18",1772.18,,EEA,B. Fugitive emissions from fuels,TRUE,,TRUE
FR_2023_CO2_1B1,FR,France,2023,CO2,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,B,16,Gg CO2 equivalent,0,NE; NO,NE; NO,,NE; NO,EEA,1.  Solid fuels,TRUE,,TRUE
FR_2023_CO2_1B2,FR,France,2023,CO2,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,B,17,Gg CO2 equivalent,1772.17959,1772.18,"1,772.18",1772.18,,EEA,2.  Oil and natural gas,TRUE,,TRUE
FR_2023_CO2_1C,FR,France,2023,CO2,1C,C. CO2 transport and storage,1.C,1.C - CO2 Transport and Storage,B,18,Gg CO2 equivalent,0,NA; NO,NA; NO,,NA; NO,EEA,C. CO2 transport and storage,TRUE,,TRUE
FR_2023_CO2_2,FR,France,2023,CO2,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,B,19,Gg CO2 equivalent,25922.07574,25922.07574,"25,922.08",25922.08,,MS data,2.  Industrial processes and product use,TRUE,,TRUE
FR_2023_CO2_2A,FR,France,2023,CO2,2A,A.  Mineral industry,2.A,2.A - Mineral Industry,B,20,Gg CO2 equivalent,8690.9602,8690.9602,"8,690.96",8690.96,,MS data,A.  Mineral industry,TRUE,,TRUE
FR_2023_CO2_2B,FR,France,2023,CO2,2B,B.  Chemical industry,2.B,2.B - Chemical Industry,B,21,Gg CO2 equivalent,5370.13351,5370.13351,"5,370.13",5370.13,,MS data,B.  Chemical industry,TRUE,,TRUE
FR_2023_CO2_2C,FR,France,2023,CO2,2C,C.  Metal industry,2.C,2.C - Metal Industry,B,22,Gg CO2 equivalent,9968.41629,9968.41629,"9,968.42",9968.42,,MS data,C.  Metal industry,TRUE,,TRUE
FR_2023_CO2_2D,FR,France,2023,CO2,2D,D.  Non-energy products from fuels and solvent use,2.D,2.D - Non-energy Products from Fuels and Solvent Use,B,23,Gg CO2 equivalent,1445.33699,1445.33699,"1,445.34",1445.34,,MS data,D.  Non-energy products from fuels and solvent use,TRUE,,TRUE
FR_2023_CO2_2G,FR,France,2023,CO2,2G,G.  Other product manufacture and use ,2.G,2.G - Other Product Manufacture and Use,B,26,Gg CO2 equivalent,447.0992,447.0992,447.1,447.10,,MS data,G.  Other product manufacture and use ,TRUE,,TRUE
FR_2023_CO2_2H,FR,France,2023,CO2,2H,H.  Other ,2.H,2.H - Other Industrial Process and Product Use,B,27,Gg CO2 equivalent,0.12955,0.12955,0.13,0.13,,MS data,H.  Other ,TRUE,,TRUE
FR_2023_CO2_3,FR,France,2023,CO2,3,3.  Agriculture,3,3 - Agriculture,B,28,Gg CO2 equivalent,2029.4625,2029.4625,"2,029.46",2029.46,,MS data,3.  Agriculture,TRUE,,TRUE
FR_2023_CO2_3G,FR,France,2023,CO2,3G,G. Liming,3.G,3.G - Liming,B,35,Gg CO2 equivalent,806.70446,806.70446,806.7,806.70,,MS data,G. Liming,TRUE,,TRUE
FR_2023_CO2_3H,FR,France,2023,CO2,3H,H. Urea application,3.H,3.H - Urea Application,B,36,Gg CO2 equivalent,1078.5188,1078.5188,"1,078.52",1078.52,,MS data,H. Urea application,TRUE,,TRUE
FR_2023_CO2_3I,FR,France,2023,CO2,3I,I.  Other carbon-containing fertilizers,3.I,3.I - Other Carbon-containing Fertilizers,B,37,Gg CO2 equivalent,144.23924,144.23924,144.24,144.24,,MS data,I.  Other carbon-containing fertilizers,TRUE,,TRUE
FR_2023_CO2_3J,FR,France,2023,CO2,3J,J.  Other ,3.J,3.J - Other agriculture emissions,B,38,Gg CO2 equivalent,0,NO,NO,,NO,EEA,J.  Other ,TRUE,,TRUE
FR_2023_CO2_4,FR,France,2023,CO2,4,"4. Land use, land-use change and forestry(1)",4,"4 - Land Use, Land-Use Change and Forestry",B,39,Gg CO2 equivalent,-22295.03635,-22295.03635,"-22,295.04",-22295.04,,MS data,"4. Land use, land-use change and forestry(1)",TRUE,,TRUE
FR_2023_CO2_4A,FR,France,2023,CO2,4A,A. Forest land,4.A,4.A - Forest Land,B,40,Gg CO2 equivalent,-36897.978,-36897.978,"-36,897.98",-36897.98,,MS data,A. Forest land,TRUE,,TRUE
FR_2023_CO2_4B,FR,France,2023,CO2,4B,B. Cropland,4.B,4.B - Cropland,B,41,Gg CO2 equivalent,9312.22396,9312.22396,"9,312.22",9312.22,,MS data,B. Cropland,TRUE,,TRUE
FR_2023_CO2_4C,FR,France,2023,CO2,4C,C. Grassland,4.C,4.C - Grassland,B,42,Gg CO2 equivalent,-697.10569,-697.10569,-697.11,-697.11,,MS data,C. Grassland,TRUE,,TRUE
FR_2023_CO2_4D,FR,France,2023,CO2,4D,D. Wetlands,4.D,4.D - Wetlands,B,43,Gg CO2 equivalent,1264.88119,1264.88119,"1,264.88",1264.88,,MS data,D. Wetlands,TRUE,,TRUE
FR_2023_CO2_4E,FR,France,2023,CO2,4E,E. Settlements ,4.E,4.E - Settlements,B,44,Gg CO2 equivalent,5658.80936,5658.80936,"5,658.81",5658.81,,MS data,E. Settlements ,TRUE,,TRUE
FR_2023_CO2_4F,FR,France,2023,CO2,4F,F. Other land,4.F,4.F - Other Land,B,45,Gg CO2 equivalent,119.526,119.526,119.53,119.53,,MS data,F. Other land,TRUE,,TRUE
FR_2023_CO2_4G,FR,France,2023,CO2,4G,G. Harvested wood products,4.G,4.G - Harvested Wood Products,B,46,Gg CO2 equivalent,-1085.68717,-1085.68717,"-1,085.69",-1085.69,,MS data,G. Harvested wood products,TRUE,,TRUE
FR_2023_CO2_4H,FR,France,2023,CO2,4H,H. Other       ,4.H,4.H - Other LULUCF,B,47,Gg CO2 equivalent,30.294,30.294,30.29,30.29,,MS data,H. Other       ,TRUE,,TRUE
FR_2023_CO2_5,FR,France,2023,CO2,5,5.  Waste,5,5 - Waste management,B,48,Gg CO2 equivalent,1619.32555,1619.32555,"1,619.33",1619.33,,MS data,5.  Waste,TRUE,,TRUE
FR_2023_CO2_5A,FR,France,2023,CO2,5A,A.  Solid waste disposal ,5.A,5.A - Solid Waste Disposal,B,49,Gg CO2 equivalent,0,NA,NA,,NA,EEA,A.  Solid waste disposal ,FALSE,,FALSE
FR_2023_CO2_5C,FR,France,2023,CO2,5C,C.  Incineration and open burning of waste,5.C,5.C - Incineration and Open Burning of Waste,B,51,Gg CO2 equivalent,1619.32555,1619.32555,"1,619.33",1619.33,,MS data,C.  Incineration and open burning of waste,TRUE,,TRUE
FR_2023_CO2_5E,FR,France,2023,CO2,5E,E.  Other ,5.E,5.E - Other Disposal,B,53,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Other ,FALSE,,FALSE
FR_2023_CO2_6,FR,France,2023,CO2,6,6.  Other (as specified in summary 1.A),6,6 - Other Sector,B,54,Gg CO2 equivalent,0,NO,NO,,NO,EEA,6.  Other (as specified in summary 1.A),TRUE,,TRUE
FR_2023_CH4_Total_net,FR,France,2023,CH4,Total_net,Total (net emissions)(1),,,C,7,Gg CO2 equivalent,58160.08235,58160.08227,"58,160.08",58160.08,,EEA,Total (net emissions)(1),TRUE,,TRUE
FR_2023_CH4_1,FR,France,2023,CH4,1,1. Energy,1,1 - Energy,C,8,Gg CO2 equivalent,2681.71835,2681.71827,"2,681.72",2681.72,,EEA,1. Energy,TRUE,,TRUE
FR_2023_CH4_1A,FR,France,2023,CH4,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,C,9,Gg CO2 equivalent,1892.41427,1892.41427,"1,892.41",1892.41,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
FR_2023_CH4_1A1,FR,France,2023,CH4,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,C,10,Gg CO2 equivalent,54.41808,54.41808,54.42,54.42,,MS data,1.  Energy industries,TRUE,,TRUE
FR_2023_CH4_1A2,FR,France,2023,CH4,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,C,11,Gg CO2 equivalent,112.65555,112.65555,112.66,112.66,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
FR_2023_CH4_1A3,FR,France,2023,CH4,1A3,3.  Transport,1.A.3,1.A.3 - Transport,C,12,Gg CO2 equivalent,169.5227,169.5227,169.52,169.52,,MS data,3.  Transport (3),FALSE,1,TRUE
FR_2023_CH4_1A4,FR,France,2023,CH4,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,C,13,Gg CO2 equivalent,1553.20027,1553.20027,"1,553.20",1553.20,,MS data,4.  Other sectors,TRUE,,TRUE
FR_2023_CH4_1A5,FR,France,2023,CH4,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,C,14,Gg CO2 equivalent,2.61767,2.61767,2.62,2.62,,MS data,5.  Other,TRUE,,TRUE
FR_2023_CH4_1B,FR,France,2023,CH4,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,C,15,Gg CO2 equivalent,789.30408,789.304,789.3,789.30,,EEA,B. Fugitive emissions from fuels,TRUE,,TRUE
FR_2023_CH4_1B1,FR,France,2023,CH4,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,C,16,Gg CO2 equivalent,11.43296,11.433,11.43,11.43,,EEA,1.  Solid fuels,TRUE,,TRUE
FR_2023_CH4_1B2,FR,France,2023,CH4,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,C,17,Gg CO2 equivalent,777.87112,777.871,777.87,777.87,,EEA,2.  Oil and natural gas,TRUE,,TRUE
FR_2023_CH4_2,FR,France,2023,CH4,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,C,19,Gg CO2 equivalent,55.22595,55.22595,55.23,55.23,,MS data,2.  Industrial processes and product use,TRUE,,TRUE
FR_2023_CH4_2B,FR,France,2023,CH4,2B,B.  Chemical industry,2.B,2.B - Chemical Industry,C,21,Gg CO2 equivalent,33.12774,33.12774,33.13,33.13,,MS data,B.  Chemical industry,TRUE,,TRUE
FR_2023_CH4_2C,FR,France,2023,CH4,2C,C.  Metal industry,2.C,2.C - Metal Industry,C,22,Gg CO2 equivalent,21.80378,21.80378,21.8,21.80,,MS data,C.  Metal industry,TRUE,,TRUE
FR_2023_CH4_2D,FR,France,2023,CH4,2D,D.  Non-energy products from fuels and solvent use,2.D,2.D - Non-energy Products from Fuels and Solvent Use,C,23,Gg CO2 equivalent,0.29444,0.29444,0.29,0.29,,MS data,D.  Non-energy products from fuels and solvent use,TRUE,,TRUE
FR_2023_CH4_2G,FR,France,2023,CH4,2G,G.  Other product manufacture and use ,2.G,2.G - Other Product Manufacture and Use,C,26,Gg CO2 equivalent,0,NO,NO,,NO,EEA,G.  Other product manufacture and use ,TRUE,,TRUE
FR_2023_CH4_2H,FR,France,2023,CH4,2H,H.  Other ,2.H,2.H - Other Industrial Process and Product Use,C,27,Gg CO2 equivalent,0,NA; NO,NA; NO,,NA; NO,EEA,H.  Other ,TRUE,,TRUE
FR_2023_CH4_3,FR,France,2023,CH4,3,3.  Agriculture,3,3 - Agriculture,C,28,Gg CO2 equivalent,40579.56062,40579.56062,"40,579.56",40579.56,,MS data,3.  Agriculture,TRUE,,TRUE
FR_2023_CH4_3A,FR,France,2023,CH4,3A,A.  Enteric fermentation,3.A,3.A - Enteric Fermentation,C,29,Gg CO2 equivalent,34696.04438,34696.04438,"34,696.04",34696.04,,MS data,A.  Enteric fermentation,TRUE,,TRUE
FR_2023_CH4_3B,FR,France,2023,CH4,3B,B.  Manure management,3.B,3.B - Manure Management,C,30,Gg CO2 equivalent,5815.05119,5815.05119,"5,815.05",5815.05,,MS data,B.  Manure management,TRUE,,TRUE
FR_2023_CH4_3C,FR,France,2023,CH4,3C,C.  Rice cultivation,3.C,3.C - Rice Cultivation,C,31,Gg CO2 equivalent,42.91711,42.91711,42.92,42.92,,MS data,C.  Rice cultivation,TRUE,,TRUE
FR_2023_CH4_3D,FR,France,2023,CH4,3D,D.  Agricultural soils,3.D,3.D - Agricultural Soils,C,32,Gg CO2 equivalent,0,NO,NO,,NO,EEA,D.  Agricultural soils,TRUE,,TRUE
FR_2023_CH4_3E,FR,France,2023,CH4,3E,E.  Prescribed burning of savannas,3.E,3.E - Prescribed Burning of Savannas,C,33,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Prescribed burning of savannas,TRUE,,TRUE
FR_2023_CH4_3F,FR,France,2023,CH4,3F,F.  Field burning of agricultural residues,3.F,3.F - Field Burning of Agricultural Residues,C,34,Gg CO2 equivalent,25.54794,25.54794,25.55,25.55,,MS data,F.  Field burning of agricultural residues,TRUE,,TRUE
FR_2023_CH4_3J,FR,France,2023,CH4,3J,J.  Other ,3.J,3.J - Other agriculture emissions,C,38,Gg CO2 equivalent,0,NO,NO,,NO,EEA,J.  Other ,TRUE,,TRUE
FR_2023_CH4_4,FR,France,2023,CH4,4,"4. Land use, land-use change and forestry(1)",4,"4 - Land Use, Land-Use Change and Forestry",C,39,Gg CO2 equivalent,756.10559,756.10559,756.11,756.11,,MS data,"4. Land use, land-use change and forestry(1)",TRUE,,TRUE
FR_2023_CH4_4A,FR,France,2023,CH4,4A,A. Forest land,4.A,4.A - Forest Land,C,40,Gg CO2 equivalent,92.1543,92.1543,92.15,92.15,,MS data,A. Forest land,TRUE,,TRUE
FR_2023_CH4_4B,FR,France,2023,CH4,4B,B. Cropland,4.B,4.B - Cropland,C,41,Gg CO2 equivalent,148.72443,148.72443,148.72,148.72,,MS data,B. Cropland,TRUE,,TRUE
FR_2023_CH4_4C,FR,France,2023,CH4,4C,C. Grassland,4.C,4.C - Grassland,C,42,Gg CO2 equivalent,205.95455,205.95455,205.95,205.95,,MS data,C. Grassland,TRUE,,TRUE
FR_2023_CH4_4D,FR,France,2023,CH4,4D,D. Wetlands,4.D,4.D - Wetlands,C,43,Gg CO2 equivalent,12.11055,12.11055,12.11,12.11,,MS data,D. Wetlands,TRUE,,TRUE
FR_2023_CH4_4E,FR,France,2023,CH4,4E,E. Settlements ,4.E,4.E - Settlements,C,44,Gg CO2 equivalent,52.26445,52.26445,52.26,52.26,,MS data,E. Settlements ,TRUE,,TRUE
FR_2023_CH4_4F,FR,France,2023,CH4,4F,F. Other land,4.F,4.F - Other Land,C,45,Gg CO2 equivalent,0.88664,0.88664,0.89,0.89,,MS data,F. Other land,TRUE,,TRUE
FR_2023_CH4_4H,FR,France,2023,CH4,4H,H. Other       ,4.H,4.H - Other LULUCF,C,47,Gg CO2 equivalent,244.01067,244.01067,244.01,244.01,,MS data,H. Other       ,TRUE,,TRUE
FR_2023_CH4_5,FR,France,2023,CH4,5,5.  Waste,5,5 - Waste management,C,48,Gg CO2 equivalent,14087.47185,14087.47185,"14,087.47",14087.47,,MS data,5.  Waste,TRUE,,TRUE
FR_2023_CH4_5A,FR,France,2023,CH4,5A,A.  Solid waste disposal ,5.A,5.A - Solid Waste Disposal,C,49,Gg CO2 equivalent,11383.87898,11383.87898,"11,383.88",11383.88,,MS data,A.  Solid waste disposal ,FALSE,,FALSE
FR_2023_CH4_5B,FR,France,2023,CH4,5B,B.  Biological treatment of solid waste,5.B,5.B - Biological Treatment of Solid Waste,C,50,Gg CO2 equivalent,776.62503,776.62503,776.63,776.63,,MS data,B.  Biological treatment of solid waste,TRUE,,TRUE
FR_2023_CH4_5C,FR,France,2023,CH4,5C,C.  Incineration and open burning of waste,5.C,5.C - Incineration and Open Burning of Waste,C,51,Gg CO2 equivalent,63.20508,63.20508,63.21,63.21,,MS data,C.  Incineration and open burning of waste,TRUE,,TRUE
FR_2023_CH4_5D,FR,France,2023,CH4,5D,D.  Waste water treatment and discharge,5.D,5.D - Wastewater Treatment and Discharge,C,52,Gg CO2 equivalent,1863.76276,1863.76276,"1,863.76",1863.76,,MS data,D.  Waste water treatment and discharge,TRUE,,TRUE
FR_2023_CH4_5E,FR,France,2023,CH4,5E,E.  Other ,5.E,5.E - Other Disposal,C,53,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Other ,FALSE,,FALSE
FR_2023_CH4_6,FR,France,2023,CH4,6,6.  Other (as specified in summary 1.A),6,6 - Other Sector,B,54,Gg CO2 equivalent,0,NO,NO,,NO,EEA,6.  Other (as specified in summary 1.A),TRUE,,TRUE
FR_2023_N2O_Total_net,FR,France,2023,N2O,Total_net,Total (net emissions)(1),,,D,7,Gg CO2 equivalent,25378.4618,25378.4618,"25,378.46",25378.46,,MS data,Total (net emissions)(1),TRUE,,TRUE
FR_2023_N2O_1,FR,France,2023,N2O,1,1. Energy,1,1 - Energy,D,8,Gg CO2 equivalent,2987.52619,2987.52619,"2,987.53",2987.53,,MS data,1. Energy,TRUE,,TRUE
FR_2023_N2O_1A,FR,France,2023,N2O,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,D,9,Gg CO2 equivalent,2980.29994,2980.29994,"2,980.30",2980.30,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
FR_2023_N2O_1A1,FR,France,2023,N2O,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,D,10,Gg CO2 equivalent,172.66768,172.66768,172.67,172.67,,MS data,1.  Energy industries,TRUE,,TRUE
FR_2023_N2O_1A2,FR,France,2023,N2O,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,D,11,Gg CO2 equivalent,459.55809,459.55809,459.56,459.56,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
FR_2023_N2O_1A3,FR,France,2023,N2O,1A3,3.  Transport,1.A.3,1.A.3 - Transport,D,12,Gg CO2 equivalent,1139.36153,1139.36153,"1,139.36",1139.36,,MS data,3.  Transport (3),FALSE,1,TRUE
FR_2023_N2O_1A4,FR,France,2023,N2O,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,D,13,Gg CO2 equivalent,1195.24225,1195.24225,"1,195.24",1195.24,,MS data,4.  Other sectors,TRUE,,TRUE
FR_2023_N2O_1A5,FR,France,2023,N2O,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,D,14,Gg CO2 equivalent,13.47039,13.47039,13.47,13.47,,MS data,5.  Other,TRUE,,TRUE
FR_2023_N2O_1B,FR,France,2023,N2O,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,D,15,Gg CO2 equivalent,7.22625,7.22625,7.23,7.23,,MS data,B. Fugitive emissions from fuels,TRUE,,TRUE
FR_2023_N2O_1B1,FR,France,2023,N2O,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,D,16,Gg CO2 equivalent,0,NE; NO,NE; NO,,NE; NO,EEA,1.  Solid fuels,TRUE,,TRUE
FR_2023_N2O_1B2,FR,France,2023,N2O,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,D,17,Gg CO2 equivalent,7.22625,7.22625,7.23,7.23,,MS data,2.  Oil and natural gas,TRUE,,TRUE
FR_2023_N2O_2,FR,France,2023,N2O,2,2.  Industrial processes and product use,2,2 - Industrial Processes and Product Use,D,19,Gg CO2 equivalent,470.93679,470.93679,470.94,470.94,,MS data,2.  Industrial processes and product use,TRUE,,TRUE
FR_2023_N2O_2B,FR,France,2023,N2O,2B,B.  Chemical industry,2.B,2.B - Chemical Industry,D,21,Gg CO2 equivalent,335.13845,335.13845,335.14,335.14,,MS data,B.  Chemical industry,TRUE,,TRUE
FR_2023_N2O_2C,FR,France,2023,N2O,2C,C.  Metal industry,2.C,2.C - Metal Industry,D,22,Gg CO2 equivalent,0,NO,NO,,NO,EEA,C.  Metal industry,TRUE,,TRUE
FR_2023_N2O_2D,FR,France,2023,N2O,2D,D.  Non-energy products from fuels and solvent use,2.D,2.D - Non-energy Products from Fuels and Solvent Use,D,23,Gg CO2 equivalent,2.14713,2.14713,2.15,2.15,,MS data,D.  Non-energy products from fuels and solvent use,TRUE,,TRUE
FR_2023_N2O_2G,FR,France,2023,N2O,2G,G.  Other product manufacture and use ,2.G,2.G - Other Product Manufacture and Use,D,26,Gg CO2 equivalent,133.65121,133.65121,133.65,133.65,,MS data,G.  Other product manufacture and use ,TRUE,,TRUE
FR_2023_N2O_2H,FR,France,2023,N2O,2H,H.  Other ,2.H,2.H - Other Industrial Process and Product Use,D,27,Gg CO2 equivalent,0,NA; NO,NA; NO,,NA; NO,EEA,H.  Other ,TRUE,,TRUE
FR_2023_N2O_3,FR,France,2023,N2O,3,3.  Agriculture,3,3 - Agriculture,D,28,Gg CO2 equivalent,20169.97964,20169.97964,"20,169.98",20169.98,,MS data,3.  Agriculture,TRUE,,TRUE
FR_2023_N2O_3B,FR,France,2023,N2O,3B,B.  Manure management,3.B,3.B - Manure Management,D,30,Gg CO2 equivalent,2782.28995,2782.28995,"2,782.29",2782.29,,MS data,B.  Manure management,TRUE,,TRUE
FR_2023_N2O_3D,FR,France,2023,N2O,3D,D.  Agricultural soils,3.D,3.D - Agricultural Soils,D,32,Gg CO2 equivalent,17381.42098,17381.42098,"17,381.42",17381.42,,MS data,D.  Agricultural soils,TRUE,,TRUE
FR_2023_N2O_3E,FR,France,2023,N2O,3E,E.  Prescribed burning of savannas,3.E,3.E - Prescribed Burning of Savannas,D,33,Gg CO2 equivalent,0,NO,NO,,NO,EEA,E.  Prescribed burning of savannas,TRUE,,TRUE
FR_2023_N2O_3F,FR,France,2023,N2O,3F,F.  Field burning of agricultural residues,3.F,3.F - Field Burning of Agricultural Residues,D,34,Gg CO2 equivalent,6.26871,6.26871,6.27,6.27,,MS data,F.  Field burning of agricultural residues,TRUE,,TRUE
FR_2023_N2O_3J,FR,France,2023,N2O,3J,J.  Other ,3.J,3.J - Other agriculture emissions,D,38,Gg CO2 equivalent,0,NO,NO,,NO,EEA,J.  Other ,TRUE,,TRUE
FR_2023_N2O_4,FR,France,2023,N2O,4,"4. Land use, land-use change and forestry(1)",4,"4 - Land Use, Land-Use Change and Forestry",D,39,Gg CO2 equivalent,884.36578,884.36578,884.37,884.37,,MS data,"4. Land use, land-use change and forestry(1)",TRUE,,TRUE
